domain	bias_rating	category	mbfc_ideo
colonews.org	left-center	fake-news	-1.0
columbusstandard.com	right-center	fake-news	1.0
cei.org	far right-bias	fake-news	1.0
concernedwomen.org/blog	extreme right	fake-news	1.0
concordledger.com	right-center	fake-news	1.0
theconnecticutstar.com	right	fake-news	1.0
conservapedia.com	extreme right	fake-news	1.0
conservativeammo.com	extreme right	fake-news	1.0
conservativebeaver.com	extreme right	fake-news	1.0
conservativechoicecampaign.com	extreme right	fake-news	1.0
conservativedailynews.com	extreme right	fake-news	1.0
conservativedailypost.com	extreme right	fake-news	1.0
conservativefiringline.com	extreme right	fake-news	1.0
conservativefreepress.com	extreme right	fake-news	1.0
conservativematrix.com	right	fake-news	1.0
conservativeplaylist.com	extreme right	fake-news	1.0
facebook.com/conservativepoliticstoday	extreme right	fake-news	1.0
conservativepost.com	extreme right	fake-news	1.0
conservativerevival.com	extreme right	fake-news	1.0
westernjournal.com/ct	extreme right	fake-news	1.0
conservativeundergroundnews.com	far right	fake-news	1.0
constative.com	right-center	fake-news	1.0
constitutionstatenews.com	right-center	fake-news	1.0
cornhuskerstatenews.com	right-center	fake-news	1.0
corona-transition.org	right	fake-news	1.0
cair.com	right-center	fake-news	1.0
councilforthenationalinterest.org	left-center	fake-news	-1.0
conservative-headlines.org	extreme right	fake-news	1.0
c19early.com	right	fake-news	1.0
cowgernation.com	right	fake-news	1.0
creativedestructionmedia.com	extreme right	fake-news	1.0
culturewatchnews.com	far right	fake-news	1.0
currentsciencedaily.com	right-center	fake-news	1.0
dagospia.com	right	fake-news	1.0
dailycitizen.focusonthefamily.com	extreme right	fake-news	1.0
dailyheadlines.net	extreme right	fake-news	1.0
dailymail.co.uk	right	fake-news	1.0
dailypoliticalnewswire.com	right	fake-news	1.0
dailystar.co.uk	right-center	fake-news	1.0
stormer-daily.rw	extreme right	fake-news	1.0
dailysurge.com	far right	fake-news	1.0
dakotatimes.com	right-center	fake-news	1.0
davidharrisjr.com	extreme right	fake-news	1.0
dcdirtylaundry.com	extreme right	fake-news	1.0
debka.com	right	fake-news	1.0
decaturtimes.com	right-center	fake-news	1.0
new.deepleftfield.info	extreme left	fake-news	-1.0
deepstatejournal.com	extreme right	fake-news	1.0
defconnews.com	far right	fake-news	1.0
defendingtherepublic.org	extreme right	fake-news	1.0
defiantamerica.com	extreme right	fake-news	1.0
dekalbganews.com	right-center	fake-news	1.0
dekalbtimes.com	right-center	fake-news	1.0
delawarevalleysun.com	left-center	fake-news	-1.0
democrats.org	left	fake-news	-1.0
denvercitywire.com	right-center	fake-news	1.0
deplorablekel.com	extreme right	fake-news	1.0
desmoinessun.com	right-center	fake-news	1.0
desantisdaily.com	far right	fake-news	1.0
detroitcitywire.com	right-center	fake-news	1.0
diamondandsilkinc.com	far right	fake-news	1.0
disclose.tv	right	fake-news	1.0
discoverthenetworks.org	far right	fake-news	1.0
disntr.com	right	fake-news	1.0
djhjmedia.com	extreme right	fake-news	1.0
dnyuz.com	right-center	fake-news	1.0
downeasttimes.com	right-center	fake-news	1.0
download.news	extreme right	fake-news	1.0
downrivertoday.com	right-center	fake-news	1.0
dubuquetimes.com	right-center	fake-news	1.0
dupagepolicyjournal.com	right-center	fake-news	1.0
duvaltimes.com	right-center	fake-news	1.0
eaglevalleytimes.com	right-center	fake-news	1.0
eastalamedanews.com	right-center	fake-news	1.0
eastarapahoenews.com	right-center	fake-news	1.0
eastarizonanews.com	right-center	fake-news	1.0
ecalabamanews.com	right-center	fake-news	1.0
eastcentralreporter.com	right-center	fake-news	1.0
eastcontracostanews.com	right-center	fake-news	1.0
easthillsboroughnews.com	right-center	fake-news	1.0
easthudvalleynews.com	right-center	fake-news	1.0
eastidahotimes.com	right-center	fake-news	1.0
eastindynews.com	right-center	fake-news	1.0
eciowanews.com	right-center	fake-news	1.0
eastkentuckytimes.com	right-center	fake-news	1.0
eastlittlerocktimes.com	right-center	fake-news	1.0
eastlouisvillenews.com	right-center	fake-news	1.0
