topic	word	if_reasonable_yijing
economy	manufacturer	2.0
economy	manufacturing	2.0
economy	middle	1.0
economy	million	1.0
economy	millions	1.0
economy	dow	2.0
economy	dollar	2.0
economy	deficit	2.0
defence	weapon	2.0
defence	osama	2.0
defence	pentagon	2.0
defence	plane	2.0
defence	security	2.0
defence	soldier	2.0
defence	surveillance	2.0
defence	terrorism	2.0
defence	terrorist	2.0
defence	troop	2.0
defence	va	2.0
defence	veteran	2.0
defence	war	2.0
defence	wartime	2.0
economy	2008	2.0
economy	deduction	2.0
economy	bailout	2.0
economy	bank	2.0
economy	bankruptcy	2.0
economy	billion	1.0
economy	business	2.0
economy	ceo	2.0
economy	commerce	2.0
economy	consumer	2.0
economy	corporate	2.0
economy	corporation	2.0
economy	create	1.0
economy	credit	2.0
economy	debt	2.0
economy	money	2.0
economy	ppp	2.0
election_campaign	moderators	2.0
economy	profit	2.0
education	student	2.0
education	teach	2.0
education	teacher	2.0
education	university	2.0
election_campaign	acceptance	2.0
election_campaign	apologize	2.0
election_campaign	apology	2.0
election_campaign	bernie	2.0
election_campaign	candidate	1.0
election_campaign	choice	2.0
election_campaign	cleveland	2.0
election_campaign	college	1.0
election_campaign	convention	2.0
election_campaign	conway	2.0
election_campaign	coverage	1.0
election_campaign	cruz	2.0
election_campaign	debate	2.0
election_campaign	debates	2.0
election_campaign	endorse	2.0
election_campaign	ferns	2.0
election_campaign	galifianakis	2.0
election_campaign	hofstra	2.0
election_campaign	kaine	2.0
election_campaign	manager	2.0
election_campaign	mate	2.0
election_campaign	mike	2.0
election_campaign	millenial	2.0
election_campaign	millenials	2.0
election_campaign	moderator	2.0
education	stanford	2.0
education	school	2.0
education	professor	2.0
economy	wage	2.0
economy	protectionism	2.0
economy	recession	2.0
economy	return	1.0
economy	returns	2.0
economy	revenue	2.0
economy	sba	2.0
economy	sector	2.0
economy	stimulus	2.0
economy	tax	2.0
economy	taxpayer	2.0
economy	treasury	2.0
economy	unemployed	2.0
economy	unemployment	2.0
education	campus	2.0
education	oxford	2.0
education	class	2.0
education	classroom	2.0
education	college	2.0
education	columbia	2.0
education	educate	2.0
education	education	2.0
education	grade	2.0
education	graduate	2.0
education	graduation	2.0
education	harvard	2.0
education	hopkins	2.0
education	learn	2.0
education	learning	2.0
healthcare	knew far more about covid 19 far earlier	2.0
election_campaign	worst president america has ever had	2.0
healthcare	covered up knowing about the virus	2.0
election_campaign	tell trump to shut up	2.0
healthcare	knew more about the covid	2.0
election_campaign	called trump a clown	2.0
healthcare	not keeping people informed	2.0
healthcare	lied about the coronavirus	2.0
civil_rights	election is being stolen	2.0
healthcare	make a full recovery	2.0
healthcare	stay at home	2.0
government_ops	fill empty seat	2.0
healthcare	wear a mask	2.0
healthcare	affordable care act	2.0
civil_rights	stop the count	2.0
government_ops	stack supreme court	2.0
government_ops	trump will fill	2.0
government_ops	transfer of power	2.0
civil_rights	stop the counting	2.0
crime	rooting for violence	2.0
healthcare	wish trump well	2.0
healthcare	play it down	2.0
healthcare	3 million cases	2.0
intl_affairs	united arab emirates	2.0
healthcare	required to wear	2.0
crime	supreme court nominee	2.0
healthcare	negative coronavirus test	2.0
civil_rights	shot by police	2.0
healthcare	lies about coronavirus	2.0
civil_rights	try voting twice	2.0
energy	clean energy jobs	2.0
crime	amy coney barrett	2.0
election_campaign	lead in polls	2.0
healthcare	wife test negative	2.0
government_ops	stacking supreme court	2.0
election_campaign	shut up man	2.0
election_campaign	republican national convention	2.0
healthcare	lies about covid	2.0
healthcare	pray for trump	2.0
crime	pack the court	2.0
election_campaign	first black woman	2.0
election_campaign	democratic national convention	2.0
healthcare	trump got covid	2.0
healthcare	trump positive test	2.0
healthcare	took off mask	2.0
election_campaign	rock endorses biden	2.0
civil_rights	mail in ballot	2.0
healthcare	medicare for all	2.0
healthcare	wife test positive	2.0
crime	packing the court	2.0
healthcare	handling coronavirus	2.0
healthcare	more deadly	2.0
election_campaign	fourth debate	2.0
election_campaign	mike pence	2.0
crime	pack court	2.0
election_campaign	vp debate	2.0
civil_rights	stop count	2.0
civil_rights	transfer power	2.0
economy	payroll tax	2.0
election_campaign	first black	2.0
healthcare	positive test	2.0
healthcare	wuhan virus	2.0
crime	defund police	2.0
government_ops	leave office	2.0
healthcare	experimental treatment	2.0
sstc	60 minutes	2.0
economy	income tax	2.0
sstc	press conference	2.0
election_campaign	negative ads	2.0
crime	court nominee	2.0
healthcare	healthcare plan	2.0
economy	raise taxes	2.0
election_campaign	press conference	2.0
election_campaign	campaign money	2.0
election_campaign	losing support	2.0
election_campaign	south asian	2.0
crime	ak-47	2.0
civil_rights	election fraud	2.0
civil_rights	mail in	2.0
civil_rights	absentee ballot	2.0
civil_rights	election stolen	2.0
crime	nominate woman	2.0
healthcare	wife tested	2.0
civil_rights	voting twice	2.0
civil_rights	delay election	2.0
civil_rights	postal service	2.0
election_campaign	virtual debate	2.0
immigration	international students	2.0
healthcare	contact tracing	2.0
environment	wild fires	2.0
election_campaign	first female	1.0
civil_rights	voting machine	2.0
healthcare	surgeon general	2.0
crime	national guard	2.0
election_campaign	democrat convention	2.0
crime	police department	2.0
election_campaign	suburban housewives	2.0
crime	replace rbg	2.0
healthcare	fight coronavirus	2.0
immigration	southern border	2.0
civil_rights	post office	2.0
economy	raising taxes	2.0
education	re-open	1.0
civil_rights	vote twice	2.0
healthcare	corona virus	2.0
election_campaign	kristi noem	1.0
healthcare	public health	2.0
crime	court case	2.0
crime	new justice	2.0
social_welfare	stimulus check	2.0
economy	stimulus check	2.0
healthcare	second wave	2.0
economy	tax cut	2.0
election_campaign	south lawn	2.0
civil_rights	matter movement	2.0
civil_rights	fair election	2.0
intl_affairs	peace deal	2.0
election_campaign	vice presidential	2.0
healthcare	the who	2.0
healthcare	coronavirus pandemic	2.0
election_campaign	roll call	2.0
civil_rights	election interference	2.0
healthcare	get sick	2.0
election_campaign	raise money	2.0
civil_rights	george floyd	2.0
election_campaign	campaign funds	2.0
election_campaign	salt lake	2.0
civil_rights	jacob blake	2.0
election_campaign	democratic convention	2.0
